Concatenate (Fusion),Supplier,PO No  ( EBS ),PO ( EBS ) Delivery Date,MRR No. ( EBS ),MRR Date ( EBS ),MRR No. ( Fusion ),MRR Release Date,Invoice Number,Invoice Ref.
1585-0,"SICHUAN HUI LI INDUSTRY CO.,LTD.",1585,2018-06-14,6,2018-06-11,0,,0,Not Submitted
17666-10819,UNITED STATES PHARMACOPEIAL CONV.INC.,17666,2022-04-01,5999,2023-11-22,10819,,0,Not Submitted
17666-10819,UNITED STATES PHARMACOPEIAL CONV.INC.,17666,2023-02-04,5999,2023-11-22,10819,,0,Not Submitted
17666-10819,UNITED STATES PHARMACOPEIAL CONV.INC.,17666,2023-02-04,5999,2023-11-22,10819,,0,Not Submitted
17666-10819,UNITED STATES PHARMACOPEIAL CONV.INC.,17666,2023-10-14,5999,2023-11-22,10819,,0,Not Submitted
17666-10819,UNITED STATES PHARMACOPEIAL CONV.INC.,17666,2023-10-14,5999,2023-11-22,10819,,0,Not Submitted
17244-781,"HENAN KANGDA PHARMACEUTICAL CO.,LTD",17244,2023-09-10,599,2023-10-27,781,2023-11-03,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-07,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
