Concatenate (Fusion),Supplier,PO No  ( EBS ),PO ( EBS ) Delivery Date,MRR No. ( EBS ),MRR Date ( EBS ),MRR No. ( Fusion ),MRR Release Date,Invoice Number,Invoice Ref.
3418-2526,SYED ENTERPRISES,3418,2018-11-06,1420,2019-06-17,2526,,0,Not Submitted
1337-341,Muhammad Raza - 38402-3199805-1,1337,2018-05-01,142,2018-05-29,341,,0,Not Submitted
3418-2525,SYED ENTERPRISES,3418,2018-11-06,1419,2019-06-17,2525,,0,Not Submitted
3418-2524,SYED ENTERPRISES,3418,2018-11-06,1418,2019-06-17,2524,,0,Not Submitted
6430-1461,Muhammad Raza,6430,2019-10-02,1417,2019-11-11,1461,,0,Not Submitted
6265-1446,Muhammad Raza,6265,2019-09-03,1402,2019-11-08,1446,,0,Not Submitted
10188-0,CAMBREX KARISKOGA AB,10188,2020-12-31,140,2020-12-21,0,,0,Not Submitted
1460-0,AHMED CHEMICAL CO.,1460,2018-07-20,1395,2018-09-25,0,,0,Not Submitted
5482-1435,HONDA SOUTH (PVT) LTD.,5482,2019-07-12,1392,2019-11-07,1435,,0,Not Submitted
5482-1435,HONDA SOUTH (PVT) LTD.,5482,2019-07-12,1392,2019-11-07,1435,,0,Not Submitted
5482-1435,HONDA SOUTH (PVT) LTD.,5482,2019-07-12,1392,2019-11-07,1435,,0,Not Submitted
6661-123,CAMBREX PROFARMACO MILANO SRL,6661,2019-11-12,139,2020-12-14,123,,0,Not Submitted
2705-1379,MEDICURE LABORATORIES,2705,2018-09-10,1387,2018-09-19,1379,,0,Not Submitted
6661-122,CAMBREX PROFARMACO MILANO SRL,6661,2019-11-12,138,2020-12-14,122,,0,Not Submitted
17472-0,ZHUHAI CHUMING DEVELOPMENT COMPANY LTD. CHINA,17472,2023-10-10,13751,2023-12-22,0,,0,Not Submitted
17472-0,ZHUHAI CHUMING DEVELOPMENT COMPANY LTD. CHINA,17472,2023-10-10,13750,2023-12-22,0,,0,Not Submitted
17726-0,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13749,2023-12-22,0,,0,Not Submitted
17726-0,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13748,2023-12-22,0,,0,Not Submitted
17927-0,METIER IMPRESSIONS (PVT) LTD.,17927,2023-12-11,13747,2023-12-22,0,,0,Not Submitted
17337-0,BROTHERS ENTERPRISE (PVT.) LIMITED,17337,2023-09-15,13746,2023-12-22,0,,0,Not Submitted
17901-0,BROTHERS ENTERPRISE (PVT.) LIMITED,17901,2023-12-28,13745,2023-12-22,0,,0,Not Submitted
18124-0,"LUOHE CHIEF PHARMACEUTICAL CO., LTD.",18124,2023-02-07,13744,2023-12-21,0,2023-12-22,0,Not Submitted
17875-0,METIER AMPOULE (PVT.) LIMITED,17875,2023-12-20,13743,2023-12-21,0,,0,Not Submitted
17266-0,METIER AMPOULE (PVT.) LIMITED,17266,2023-09-25,13742,2023-12-21,0,,0,Not Submitted
17988-0,METIER IMPRESSIONS (PVT) LTD.,17988,2023-11-23,13741,2023-12-21,0,,0,Not Submitted
17894-0,METIER IMPRESSIONS (PVT) LTD.,17894,2023-12-28,13740,2023-12-21,0,,0,Not Submitted
17923-0,METIER AMPOULE (PVT.) LIMITED,17923,2023-12-30,13739,2023-12-21,0,,0,Not Submitted
18120-0,PAK ELECTRON BEAM IRRADIATION (PVT.) LTD.,18120,2023-12-07,13738,2023-12-21,0,,0,Not Submitted
18120-0,PAK ELECTRON BEAM IRRADIATION (PVT.) LTD.,18120,2023-12-07,13737,2023-12-21,0,,0,Not Submitted
18120-0,PAK ELECTRON BEAM IRRADIATION (PVT.) LTD.,18120,2023-12-07,13736,2023-12-21,0,,0,Not Submitted
17927-0,METIER IMPRESSIONS (PVT) LTD.,17927,2023-12-27,13734,2023-12-20,0,,0,Not Submitted
17925-0,METIER IMPRESSIONS (PVT) LTD.,17925,2023-12-27,13733,2023-12-20,0,,0,Not Submitted
17726-0,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13732,2023-12-20,0,,0,Not Submitted
17685-14002,METIER AMPOULE (PVT.) LIMITED,17685,2023-12-15,13731,2023-12-19,14002,2023-12-21,0,Not Submitted
17689-0,METIER IMPRESSIONS (PVT) LTD.,17689,2023-12-11,13730,2023-12-19,0,,0,Not Submitted
2707-0,MAK KEMIKAL,2707,2018-09-25,1373,2018-09-17,0,,0,Not Submitted
17339-14013,METIER IMPRESSIONS (PVT) LTD.,17339,2023-10-10,13728,2023-12-19,14013,2023-12-22,0,Not Submitted
17690-0,UNITED TUBES (PRIVATE) LIMITED,17690,2023-12-11,13726,2023-12-19,0,,0,Not Submitted
17726-14001,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13724,2023-12-19,14001,2023-12-21,0,Not Submitted
18025-14008,ALLIED TRADING & PACKAGING COMPANY,18025,2023-12-15,13721,2023-12-18,14008,2023-12-21,0,Not Submitted
17890-0,HEALTH CAPSULES PAKISTAN (PRIVATE) LIMITED,17890,2023-12-22,13720,2023-12-18,0,,0,Not Submitted
17890-13991,HEALTH CAPSULES PAKISTAN (PRIVATE) LIMITED,17890,2023-12-22,13719,2023-12-18,13991,2023-12-19,0,Not Submitted
17974-0,HEALTH CAPSULES PAKISTAN (PRIVATE) LIMITED,17974,2024-01-20,13718,2023-12-18,0,,0,Not Submitted
17974-0,HEALTH CAPSULES PAKISTAN (PRIVATE) LIMITED,17974,2024-01-20,13717,2023-12-18,0,,0,Not Submitted
17699-13996,IFTEKHAR INTERNATIONAL,17699,2023-11-15,13716,2023-12-18,13996,2023-12-20,0,Not Submitted
17871-13994,PHARMA PACKAGES,17871,2023-12-30,13715,2023-12-18,13994,2023-12-20,0,Not Submitted
17855-14014,ZAKI SONS,17855,2023-12-10,13714,2023-12-18,14014,2023-12-22,0,Not Submitted
17776-14000,STANDARD SCIENTIFIC SUPPLIES,17776,2023-12-04,13713,2023-12-16,14000,2023-12-21,0,Not Submitted
18001-13999,STANDARD SCIENTIFIC SUPPLIES,18001,2024-01-10,13712,2023-12-16,13999,2023-12-21,0,Not Submitted
17388-13990,IFTEKHAR INTERNATIONAL,17388,2023-11-07,13711,2023-12-16,13990,2023-12-19,0,Not Submitted
17699-13993,IFTEKHAR INTERNATIONAL,17699,2023-11-15,13710,2023-12-16,13993,2023-12-20,0,Not Submitted
17778-0,KHAN PACKAGES,17778,2023-12-13,13709,2023-12-15,0,,0,Not Submitted
18076-13995,M/S ALI ENTERPRISES,18076,2023-12-20,13708,2023-12-15,13995,2023-12-20,0,Not Submitted
18025-14006,ALLIED TRADING & PACKAGING COMPANY,18025,2023-12-15,13707,2023-12-15,14006,2023-12-21,0,Not Submitted
18025-14012,ALLIED TRADING & PACKAGING COMPANY,18025,2023-12-15,13707,2023-12-15,14012,2023-12-21,0,Not Submitted
17219-0,LUCKY PLASTIC INDUSTRIES (PRIVATE) LIMITED,17219,2023-10-06,13706,2023-12-15,0,,0,Not Submitted
17877-13975,METIER IMPRESSIONS (PVT) LTD.,17877,2023-12-20,13705,2023-12-15,13975,2023-12-15,0,Not Submitted
17877-13974,METIER IMPRESSIONS (PVT) LTD.,17877,2023-12-05,13704,2023-12-15,13974,2023-12-15,0,Not Submitted
17877-13973,METIER IMPRESSIONS (PVT) LTD.,17877,2023-12-10,13703,2023-12-15,13973,2023-12-15,0,Not Submitted
16420-13982,NINGBO STEPS IMPORT & EXPORT CO. LTD.,16420,2023-05-30,13702,2023-12-14,13982,2023-12-18,0,Not Submitted
17567-13971,COLORCON LTD.,17567,2023-10-25,13701,2023-12-14,13971,2023-12-15,0,Not Submitted
17388-13970,IFTEKHAR INTERNATIONAL,17388,2023-11-07,13700,2023-12-14,13970,2023-12-15,0,Not Submitted
1338-0,Muhammad Raza - 38402-3199805-1,1338,2018-05-01,137,2018-05-29,0,,0,Not Submitted
8456-121,S.I.M.S. SRL - SOCIET?? ITALIANA MEDICINALI SCANDICCI,8456,2020-09-15,137,2020-12-11,121,,0,Not Submitted
17771-13981,METIER IMPRESSIONS (PVT) LTD.,17771,2023-11-30,13699,2023-12-14,13981,2023-12-18,0,Not Submitted
17726-13980,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13698,2023-12-14,13980,2023-12-18,0,Not Submitted
17726-0,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13697,2023-12-14,0,,0,Not Submitted
17388-13968,IFTEKHAR INTERNATIONAL,17388,2023-11-07,13695,2023-12-13,13968,2023-12-15,0,Not Submitted
17778-0,KHAN PACKAGES,17778,2023-12-13,13694,2023-12-13,0,,0,Not Submitted
17940-13979,KHAN PACKAGES,17940,2023-12-29,13693,2023-12-13,13979,2023-12-18,0,Not Submitted
17717-13954,KHAN PACKAGES,17717,2023-12-05,13692,2023-12-13,13954,2023-12-14,0,Not Submitted
17650-13967,REBORN INDUSTIRES (PVT) LTD,17650,2023-12-04,13691,2023-12-13,13967,2023-12-15,0,Not Submitted
17650-13953,REBORN INDUSTIRES (PVT) LTD,17650,2023-11-06,13690,2023-12-13,13953,2023-12-14,0,Not Submitted
17714-13966,REBORN INDUSTIRES (PVT) LTD,17714,2023-12-05,13689,2023-12-13,13966,2023-12-15,0,Not Submitted
17677-13978,UNITED TUBES (PRIVATE) LIMITED,17677,2023-11-20,13688,2023-12-13,13978,2023-12-18,0,Not Submitted
17726-13965,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13687,2023-12-13,13965,2023-12-15,0,Not Submitted
17726-13952,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13686,2023-12-13,13952,2023-12-14,0,Not Submitted
17783-13951,AN TRADERS,17783,2023-12-13,13685,2023-12-13,13951,2023-12-14,0,Not Submitted
17871-0,PHARMA PACKAGES,17871,2023-12-30,13684,2023-12-12,0,,0,Not Submitted
15916-13969,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,15916,2023-02-10,13683,2023-12-12,13969,2023-12-15,0,Not Submitted
15916-13969,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,15916,2023-02-10,13683,2023-12-12,13969,2023-12-15,0,Not Submitted
15916-13969,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,15916,2023-02-10,13683,2023-12-12,13969,2023-12-15,0,Not Submitted
15916-13969,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,15916,2023-02-10,13683,2023-12-12,13969,2023-12-15,0,Not Submitted
17940-13941,KHAN PACKAGES,17940,2024-01-10,13682,2023-12-12,13941,2023-12-13,0,Not Submitted
17761-13940,KHAN PACKAGES,17761,2023-12-02,13681,2023-12-12,13940,2023-12-13,0,Not Submitted
17940-13950,KHAN PACKAGES,17940,2023-12-29,13680,2023-12-12,13950,2023-12-14,0,Not Submitted
17362-13956,KHAN PACKAGES,17362,2023-10-10,13679,2023-12-12,13956,2023-12-14,0,Not Submitted
17362-13949,KHAN PACKAGES,17362,2023-10-10,13678,2023-12-12,13949,2023-12-14,0,Not Submitted
17600-13945,KHAN PACKAGES,17600,2023-11-08,13677,2023-12-12,13945,2023-12-13,0,Not Submitted
17726-13964,METIER PLASTIC (PVT.) LIMITED,17726,2024-01-02,13676,2023-12-12,13964,2023-12-15,0,Not Submitted
17726-13963,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13675,2023-12-12,13963,2023-12-15,0,Not Submitted
17065-14005,AL NAFAY GRAVURE,17065,2023-07-20,13674,2023-12-12,14005,2023-12-21,0,Not Submitted
17457-13998,AL NAFAY GRAVURE,17457,2023-10-30,13673,2023-12-12,13998,2023-12-21,0,Not Submitted
17730-13997,"VITAL - CHEM ZHUHAI CO., LIMITED",17730,2023-10-30,13672,2023-12-11,13997,2023-12-21,0,Not Submitted
17363-13934,REBORN INDUSTIRES (PVT) LTD,17363,2023-10-19,13671,2023-12-11,13934,2023-12-12,0,Not Submitted
17363-13937,REBORN INDUSTIRES (PVT) LTD,17363,2023-10-10,13670,2023-12-11,13937,2023-12-12,0,Not Submitted
17363-0,REBORN INDUSTIRES (PVT) LTD,17363,2023-10-19,13669,2023-12-11,0,,0,Not Submitted
17247-13984,"FUAN GROUP CHONGQING KINGSDAY PHARMACEUTICAL CO., LTD",17247,2023-09-25,13667,2023-12-08,13984,2023-12-18,0,Not Submitted
16052-13962,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,16052,2023-02-10,13666,2023-12-08,13962,2023-12-15,0,Not Submitted
16052-13962,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,16052,2023-02-10,13666,2023-12-08,13962,2023-12-15,0,Not Submitted
16052-13962,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,16052,2023-02-10,13666,2023-12-08,13962,2023-12-15,0,Not Submitted
16052-13962,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,16052,2023-02-10,13666,2023-12-08,13962,2023-12-15,0,Not Submitted
15916-13959,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,15916,2023-02-10,13665,2023-12-01,13959,2023-12-15,0,Not Submitted
15916-13959,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,15916,2023-02-10,13665,2023-12-01,13959,2023-12-15,0,Not Submitted
15916-13959,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,15916,2023-02-10,13665,2023-12-01,13959,2023-12-15,0,Not Submitted
15916-13959,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,15916,2023-02-10,13665,2023-12-01,13959,2023-12-15,0,Not Submitted
15916-13958,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,15916,2023-02-10,13664,2023-12-01,13958,2023-12-14,0,Not Submitted
15916-13958,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,15916,2023-02-10,13664,2023-12-01,13958,2023-12-14,0,Not Submitted
15916-13958,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,15916,2023-02-10,13664,2023-12-01,13958,2023-12-14,0,Not Submitted
15916-13958,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,15916,2023-02-10,13664,2023-12-01,13958,2023-12-14,0,Not Submitted
17221-13939,AN TRADERS,17221,2023-10-02,13663,2023-12-09,13939,2023-12-13,0,Not Submitted
17363-13933,REBORN INDUSTIRES (PVT) LTD,17363,2023-10-10,13662,2023-12-09,13933,2023-12-12,0,Not Submitted
17819-13932,REBORN INDUSTIRES (PVT) LTD,17819,2023-12-10,13661,2023-12-09,13932,2023-12-12,0,Not Submitted
17782-13985,METIER PLASTIC (PVT.) LIMITED,17782,2023-12-28,13660,2023-12-09,13985,2023-12-18,0,Not Submitted
17782-13925,METIER PLASTIC (PVT.) LIMITED,17782,2023-12-30,13659,2023-12-09,13925,2023-12-12,0,Not Submitted
17771-13924,METIER IMPRESSIONS (PVT) LTD.,17771,2023-12-10,13658,2023-12-08,13924,2023-12-12,0,Not Submitted
17726-13931,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13657,2023-12-08,13931,2023-12-12,0,Not Submitted
17726-13923,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13656,2023-12-08,13923,2023-12-12,0,Not Submitted
17726-13922,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13655,2023-12-08,13922,2023-12-12,0,Not Submitted
17726-13921,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13654,2023-12-08,13921,2023-12-12,0,Not Submitted
17272-13920,METIER IMPRESSIONS (PVT) LTD.,17272,2023-09-15,13653,2023-12-08,13920,2023-12-12,0,Not Submitted
17885-13989,JAVED CHEMICAL CORPORATION,17885,2023-12-20,13652,2023-12-08,13989,2023-12-18,0,Not Submitted
17885-13988,JAVED CHEMICAL CORPORATION,17885,2023-12-20,13651,2023-12-08,13988,2023-12-18,0,Not Submitted
17885-13986,JAVED CHEMICAL CORPORATION,17885,2023-12-20,13650,2023-12-08,13986,2023-12-18,0,Not Submitted
16892-14004,"JIANGXI CHUNGUANG NEW MATERIALS TECHNOLOGY CO.,LTD",16892,2023-07-03,13649,2023-12-08,14004,2023-12-21,0,Not Submitted
15769-13977,MIRPURKHAS SUGAR MILLS LIMITED,15769,2023-03-15,13648,2023-12-07,13977,2023-12-18,0,Not Submitted
17472-13929,ZHUHAI CHUMING DEVELOPMENT COMPANY LTD. CHINA,17472,2023-10-10,13645,2023-12-07,13929,2023-12-12,0,Not Submitted
17189-13972,"NINGBO YUNMA INTERNATIONAL TRADE CO.,LTD",17189,2023-09-10,13644,2023-12-07,13972,2023-12-15,0,Not Submitted
17189-13972,"NINGBO YUNMA INTERNATIONAL TRADE CO.,LTD",17189,2023-09-10,13644,2023-12-07,13972,2023-12-15,0,Not Submitted
17715-13944,METIER IMPRESSIONS (PVT) LTD.,17715,2023-12-10,13643,2023-12-07,13944,2023-12-13,0,Not Submitted
17771-13919,METIER IMPRESSIONS (PVT) LTD.,17771,2023-12-11,13642,2023-12-07,13919,2023-12-12,0,Not Submitted
17726-13914,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13641,2023-12-07,13914,2023-12-11,0,Not Submitted
17781-13948,METIER AMPOULE (PVT.) LIMITED,17781,2023-11-30,13640,2023-12-07,13948,2023-12-14,0,Not Submitted
17726-13913,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13639,2023-12-06,13913,2023-12-11,0,Not Submitted
17388-13918,IFTEKHAR INTERNATIONAL,17388,2023-11-07,13638,2023-12-06,13918,2023-12-12,0,Not Submitted
17783-13917,AN TRADERS,17783,2023-12-13,13637,2023-12-06,13917,2023-12-12,0,Not Submitted
16903-0,IDEAPAC,16903,2023-08-07,13636,2023-12-06,0,,0,Not Submitted
17726-13912,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13635,2023-12-06,13912,2023-12-11,0,Not Submitted
17726-13911,METIER PLASTIC (PVT.) LIMITED,17726,2024-02-20,13634,2023-12-06,13911,2023-12-11,0,Not Submitted
17598-13910,GHANI GLASS LIMITED,17598,2023-11-23,13633,2023-12-06,13910,2023-12-11,0,Not Submitted
17776-13909,STANDARD SCIENTIFIC SUPPLIES,17776,2023-11-15,13632,2023-12-05,13909,2023-12-11,0,Not Submitted
17776-13947,STANDARD SCIENTIFIC SUPPLIES,17776,2023-12-04,13631,2023-12-05,13947,2023-12-14,0,Not Submitted
17388-13902,IFTEKHAR INTERNATIONAL,17388,2023-11-07,13625,2023-12-05,13902,2023-12-07,0,Not Submitted
17362-13961,KHAN PACKAGES,17362,2023-10-05,13622,2023-12-04,13961,2023-12-15,0,Not Submitted
17556-13960,KHAN PACKAGES,17556,2023-11-15,13621,2023-12-04,13960,2023-12-15,0,Not Submitted
17920-13908,KHAN PACKAGES,17920,2023-12-26,13620,2023-12-04,13908,2023-12-11,0,Not Submitted
17717-13901,KHAN PACKAGES,17717,2023-12-05,13619,2023-12-04,13901,2023-12-07,0,Not Submitted
17388-13900,IFTEKHAR INTERNATIONAL,17388,2023-11-07,13610,2023-12-04,13900,2023-12-07,0,Not Submitted
2515-0,KHAN PACKAGES,2515,2018-08-31,1361,2018-09-10,0,,0,Not Submitted
17920-13899,KHAN PACKAGES,17920,2023-12-26,13609,2023-12-02,13899,2023-12-07,0,Not Submitted
16182-13935,"Lianyungang Guike Pharmaceutical Co., Ltd.",16182,2023-04-17,13608,2023-12-01,13935,2023-12-12,0,Not Submitted
16182-13927,"Lianyungang Guike Pharmaceutical Co., Ltd.",16182,2023-04-17,13607,2023-12-01,13927,2023-12-12,0,Not Submitted
16182-13915,"Lianyungang Guike Pharmaceutical Co., Ltd.",16182,2023-04-17,13606,2023-12-01,13915,2023-12-11,0,Not Submitted
17471-13946,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17471,2023-11-15,13605,2023-11-29,13946,2023-12-14,0,Not Submitted
17471-13926,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17471,2023-11-15,13604,2023-11-29,13926,2023-12-12,0,Not Submitted
17471-13906,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17471,2023-11-15,13603,2023-11-29,13906,2023-12-08,0,Not Submitted
17471-13903,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17471,2023-11-15,13602,2023-11-29,13903,2023-12-07,0,Not Submitted
17471-13886,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17471,2023-11-15,13601,2023-11-29,13886,2023-12-06,0,Not Submitted
17471-13883,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17471,2023-11-15,13600,2023-11-29,13883,2023-12-05,0,Not Submitted
17471-13881,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17471,2023-11-15,13599,2023-11-29,13881,2023-12-04,0,Not Submitted
17471-13876,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17471,2023-11-15,13598,2023-11-29,13876,2023-12-02,0,Not Submitted
17783-13869,AN TRADERS,17783,2023-12-13,13597,2023-12-01,13869,2023-12-02,0,Not Submitted
17896-13882,OXO TRANSLATIONAL SCIENCE GMBH,17896,2023-11-30,13594,2023-11-30,13882,2023-12-05,0,Not Submitted
17896-13879,OXO TRANSLATIONAL SCIENCE GMBH,17896,2023-11-30,13593,2023-11-30,13879,2023-12-02,0,Not Submitted
15939-13907,MERZ THERAPEUTICS GMBH,15939,2023-03-01,13592,2023-11-30,13907,2023-12-11,0,Not Submitted
17461-13897,MERZ THERAPEUTICS GMBH,17461,2023-10-25,13591,2023-11-30,13897,2023-12-06,0,Not Submitted
17912-13955,AL NAFAY GRAVURE,17912,2023-11-30,13582,2023-11-30,13955,2023-12-14,0,Not Submitted
17776-13905,STANDARD SCIENTIFIC SUPPLIES,17776,2023-12-10,13578,2023-11-30,13905,2023-12-08,0,Not Submitted
17781-13942,METIER AMPOULE (PVT.) LIMITED,17781,2023-11-30,13572,2023-11-29,13942,2023-12-13,0,Not Submitted
16052-13878,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,16052,2023-02-10,13561,2023-11-28,13878,2023-12-02,0,Not Submitted
16052-13878,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,16052,2023-02-10,13561,2023-11-28,13878,2023-12-02,0,Not Submitted
16052-13878,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,16052,2023-02-10,13561,2023-11-28,13878,2023-12-02,0,Not Submitted
16052-13878,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,16052,2023-02-10,13561,2023-11-28,13878,2023-12-02,0,Not Submitted
16052-13877,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,16052,2023-02-10,13560,2023-11-28,13877,2023-12-02,0,Not Submitted
16052-13877,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,16052,2023-02-10,13560,2023-11-28,13877,2023-12-02,0,Not Submitted
16052-13877,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,16052,2023-02-10,13560,2023-11-28,13877,2023-12-02,0,Not Submitted
16052-13877,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,16052,2023-02-10,13560,2023-11-28,13877,2023-12-02,0,Not Submitted
17590-13938,JAVED CHEMICAL CORPORATION,17590,2023-10-30,13552,2023-11-27,13938,2023-12-12,0,Not Submitted
17685-13992,METIER AMPOULE (PVT.) LIMITED,17685,2023-11-20,13547,2023-11-27,13992,2023-12-20,0,Not Submitted
17864-13976,MAK KEMIKAL,17864,2023-11-20,13545,2023-11-27,13976,2023-12-18,0,Not Submitted
17196-0,AN TRADERS,17196,2023-08-31,13544,2023-11-27,0,2023-11-30,0,Not Submitted
17779-0,AL NAFAY GRAVURE,17779,2023-12-05,13542,2023-11-27,0,,0,Not Submitted
17310-0,AL NAFAY GRAVURE,17310,2023-09-22,13541,2023-11-27,0,2023-12-01,0,Not Submitted
16986-0,BROTHERS ENTERPRISE (PVT.) LIMITED,16986,2023-08-10,13535,2023-11-25,0,,0,Not Submitted
17189-13816,"NINGBO YUNMA INTERNATIONAL TRADE CO.,LTD",17189,2023-09-10,13528,2023-11-24,13816,2023-11-27,0,Not Submitted
17189-13816,"NINGBO YUNMA INTERNATIONAL TRADE CO.,LTD",17189,2023-09-10,13528,2023-11-24,13816,2023-11-27,0,Not Submitted
17383-0,AL NAFAY GRAVURE,17383,2023-10-05,13526,2023-11-24,0,,0,Not Submitted
17701-0,ELITE CHEMICALS,17701,2022-10-30,13513,2023-11-24,0,,0,Not Submitted
17469-13817,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17469,2023-10-25,13505,2023-11-22,13817,2023-11-28,0,Not Submitted
17469-13814,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17469,2023-10-25,13504,2023-11-22,13814,2023-11-27,0,Not Submitted
17469-13785,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17469,2023-10-25,13503,2023-11-22,13785,2023-11-27,0,Not Submitted
17469-13795,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17469,2023-10-25,13502,2023-11-22,13795,2023-11-25,0,Not Submitted
17469-13786,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17469,2023-10-25,13501,2023-11-22,13786,2023-11-24,0,Not Submitted
17469-13798,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17469,2023-10-25,13500,2023-11-22,13798,2023-11-24,0,Not Submitted
17469-13784,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17469,2023-10-25,13499,2023-11-22,13784,2023-11-23,0,Not Submitted
17469-13781,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17469,2023-10-25,13498,2023-11-22,13781,2023-11-23,0,Not Submitted
15194-13777,KAJ OVERSEAS CORPORATION,15194,2022-06-01,13480,2023-11-20,13777,2023-11-22,0,Not Submitted
17685-13862,METIER AMPOULE (PVT.) LIMITED,17685,2023-11-15,13478,2023-11-20,13862,2023-12-01,0,Not Submitted
17242-13776,"Lianyungang Guike Pharmaceutical Co., Ltd.",17242,2023-09-30,13477,2023-11-17,13776,2023-11-22,0,Not Submitted
17599-13768,METIER IMPRESSIONS (PVT) LTD.,17599,2023-11-08,13473,2023-11-17,13768,2023-11-22,0,Not Submitted
17702-13764,M/S ALI ENTERPRISES,17702,2023-12-15,13470,2023-11-17,13764,2023-11-21,0,Not Submitted
17757-13747,ASHLAND SPECIALTY INGREDIENTS,17757,2023-04-10,13463,2023-11-15,13747,2023-11-17,0,Not Submitted
17739-13758,STANDARD SCIENTIFIC SUPPLIES,17739,2023-11-10,13459,2023-11-15,13758,2023-11-20,0,Not Submitted
16202-13751,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,16202,2023-03-10,13452,2023-11-13,13751,2023-11-20,0,Not Submitted
16202-13746,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,16202,2023-03-10,13451,2023-11-13,13746,2023-11-17,0,Not Submitted
16202-13743,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,16202,2023-03-10,13450,2023-11-13,13743,2023-11-16,0,Not Submitted
